,Item,Year,Crop Residues (N20),Production (t),Export Quantity (t)
0,Barley,1961,0.0083,24310.0,0.0
1,Barley,1962,0.0086,27637.0,0.0
2,Barley,1963,0.0074,20484.0,0.0
3,Barley,1964,0.0091,28668.0,0.0
4,Barley,1965,0.0091,27451.0,0.0
5,Barley,1966,0.0114,34705.0,0.0
6,Barley,1967,0.0107,30682.0,0.0
7,Barley,1968,0.0096,28988.0,0.0
8,Barley,1969,0.0094,30620.0,0.0
9,Barley,1970,0.0081,26735.0,0.0
10,Barley,1971,0.0065,19647.0,0.0
11,Barley,1972,0.0052,15442.0,0.0
12,Barley,1973,0.0045,12855.0,0.0
13,Barley,1974,0.0042,12058.0,0.0
14,Barley,1975,0.0077,25463.0,0.0
15,Barley,1976,0.0177,61550.0,0.0
16,Barley,1977,0.0293,95266.0,0.0
17,Barley,1978,0.0388,143917.0,0.0
18,Barley,1979,0.029,98125.0,0.0
19,Barley,1980,0.0228,74680.0,0.0
20,Barley,1981,0.0325,109877.0,0.0
21,Barley,1982,0.0377,98524.0,0.0
22,Barley,1983,0.0383,124931.0,0.0
23,Barley,1984,0.0235,77517.0,0.0
24,Barley,1985,0.0465,170618.0,0.0
25,Barley,1986,0.0487,185376.0,0.0
26,Barley,1987,0.0504,194514.0,0.0
27,Barley,1988,0.0364,125533.0,12.0
28,Barley,1989,0.0625,247502.0,35.0
29,Barley,1990,0.0432,157353.0,0.0
30,Barley,1991,0.0331,111650.0,0.0
31,Barley,1992,0.0326,125219.0,3.0
32,Barley,1993,0.0295,109952.0,25.0
33,Barley,1994,0.0242,90614.0,1.0
34,Barley,1995,0.0287,104634.0,0.0
35,Barley,1996,0.0516,209215.0,0.0
36,Barley,1997,0.0663,258847.0,0.0
37,Barley,1998,0.0778,300389.0,1.0
38,Barley,1999,0.0802,321789.0,0.0
39,Barley,2000,0.0731,282826.0,0.26
40,Barley,2001,0.0759,297824.0,84154.0
41,Barley,2002,0.0655,244600.0,5.0
42,Barley,2003,0.0831,345320.0,0.0
43,Barley,2004,0.0961,397160.0,0.0
44,Barley,2005,0.0819,326251.0,0.0
45,Barley,2006,0.0501,202940.0,0.0
46,Barley,2007,0.0587,235577.0,0.0
47,Barley,2008,0.0567,236912.0,29352.0
48,Barley,2009,0.0493,201249.0,0.0
49,Barley,2010,0.0658,278558.0,0.0
50,Barley,2011,0.0714,303872.0,0.0
51,Barley,2012,0.065,265025.0,0.0
52,Barley,2013,0.0768,330682.0,25751.0
53,Barley,2014,0.0608,251539.0,0.04
54,Barley,2015,0.0472,186285.0,23530.59
55,Barley,2016,0.0871,379687.0,
56,Barley,2017,0.0746,302731.0,
57,Barley,2018,0.0782,330374.0,0.03
58,Barley,2019,0.0948,405615.0,0.99
59,Barley,2020,0.0901,387146.0,31.32
60,Barley,2021,0.1046,452827.0,1.11
61,Barley,2022,0.1203,521996.0,0.39
62,"Beans, dry",1961,0.5418,1744561.0,7268.0
63,"Beans, dry",1962,0.5578,1709983.0,0.0
64,"Beans, dry",1963,0.6189,1942364.0,0.0
65,"Beans, dry",1964,0.6409,1950683.0,0.0
66,"Beans, dry",1965,0.6947,2289796.0,10.0
67,"Beans, dry",1966,0.6882,2148100.0,0.0
68,"Beans, dry",1967,0.7743,2547577.0,2254.0
69,"Beans, dry",1968,0.7635,2419677.0,27925.0
70,"Beans, dry",1969,0.7375,2199974.0,18153.0
71,"Beans, dry",1970,0.7174,2211449.0,908.0
72,"Beans, dry",1971,0.8291,2687989.0,241.0
73,"Beans, dry",1972,0.8329,2676225.0,85.0
74,"Beans, dry",1973,0.7668,2232033.0,33.0
75,"Beans, dry",1974,0.8352,2238012.0,2327.0
76,"Beans, dry",1975,0.8191,2282466.0,55772.0
77,"Beans, dry",1976,0.7631,1840315.0,19.0
78,"Beans, dry",1977,0.8779,2290007.0,18.0
79,"Beans, dry",1978,0.878,2193977.0,2.0
80,"Beans, dry",1979,0.8192,2186343.0,4093.0
81,"Beans, dry",1980,0.8595,1968165.0,1722.0
82,"Beans, dry",1981,0.9512,2340947.0,17.0
83,"Beans, dry",1982,1.1354,2902657.0,6657.0
84,"Beans, dry",1983,0.7382,1580546.0,14937.0
85,"Beans, dry",1984,1.0212,2625676.0,5632.0
86,"Beans, dry",1985,1.0131,2548738.0,9680.0
87,"Beans, dry",1986,1.0038,2219478.0,4592.0
88,"Beans, dry",1987,0.9461,2006055.0,3896.0
89,"Beans, dry",1988,1.1024,2802983.0,2050.0
90,"Beans, dry",1989,0.9692,2308355.0,1376.0
91,"Beans, dry",1990,0.8909,2234467.0,2414.0
92,"Beans, dry",1991,1.0492,2744711.0,844.0
93,"Beans, dry",1992,1.0136,2797138.0,585.0
94,"Beans, dry",1993,0.8009,2478325.0,569.0
95,"Beans, dry",1994,1.1162,3369684.0,382.0
96,"Beans, dry",1995,1.0079,2946168.0,1242.0
97,"Beans, dry",1996,0.858,2452036.0,5180.0
98,"Beans, dry",1997,0.9108,2840243.0,5294.0
99,"Beans, dry",1998,0.6909,2191153.0,1846.0
100,"Beans, dry",1999,0.8744,2830915.0,2538.0
101,"Beans, dry",2000,0.9221,3056289.0,4783.29
102,"Beans, dry",2001,0.7363,2453681.0,2319.0
103,"Beans, dry",2002,0.8954,3064230.0,16199.0
104,"Beans, dry",2003,0.9117,3302038.0,2685.0
105,"Beans, dry",2004,0.8626,2967007.0,1996.0
106,"Beans, dry",2005,0.8351,3021641.0,2285.0
107,"Beans, dry",2006,0.919,3457744.0,7771.0
108,"Beans, dry",2007,0.8553,3169356.0,30847.0
109,"Beans, dry",2008,0.8831,3461194.0,1966.0
110,"Beans, dry",2009,0.9312,3486763.0,33014.0
111,"Beans, dry",2010,0.802,3158905.0,4302.0
112,"Beans, dry",2011,0.865,3435366.0,20458.0
113,"Beans, dry",2012,0.6638,2794854.0,37668.0
114,"Beans, dry",2013,0.6883,2892599.0,33147.0
115,"Beans, dry",2014,0.7813,3294586.0,64625.84
116,"Beans, dry",2015,0.7151,3088926.0,119957.87
117,"Beans, dry",2016,0.6292,2621267.0,45049.13
118,"Beans, dry",2017,0.7017,3046079.0,116373.33
119,"Beans, dry",2018,0.6941,2916365.0,117110.32
120,"Beans, dry",2019,0.6603,2908075.0,123106.29
121,"Beans, dry",2020,0.6844,3036254.0,142661.17
122,"Beans, dry",2021,0.6605,2900805.0,153450.61
123,"Beans, dry",2022,0.6539,2842395.0,89591.68
124,Maize (corn),1961,1.8565,9036237.0,4448.0
125,Maize (corn),1962,1.9733,9587285.0,0.0
126,Maize (corn),1963,2.142,10418267.0,699200.0
127,Maize (corn),1964,2.0092,9408043.0,62315.0
128,Maize (corn),1965,2.4512,12111921.0,559675.0
129,Maize (corn),1966,2.3395,11371455.0,627063.0
130,Maize (corn),1967,2.5943,12824380.0,430444.0
131,Maize (corn),1968,2.618,12813638.0,1237966.0
132,Maize (corn),1969,2.6065,12693435.0,658543.0
133,Maize (corn),1970,2.8414,14216009.0,1470620.0
134,Maize (corn),1971,2.8855,14129749.0,1279696.0
135,Maize (corn),1972,2.9937,14891444.0,172074.0
136,Maize (corn),1973,2.8424,14185877.0,41013.0
137,Maize (corn),1974,3.2027,16273227.0,1108714.0
138,Maize (corn),1975,3.2263,16334516.0,1147941.0
139,Maize (corn),1976,3.4509,17751072.0,1417988.0
140,Maize (corn),1977,3.722,19255936.0,1420037.0
141,Maize (corn),1978,2.8518,13569401.0,14732.0
142,Maize (corn),1979,3.2601,16306380.0,9917.0
143,Maize (corn),1980,3.8538,20372080.0,6042.0
144,Maize (corn),1981,3.9663,21116912.0,7236.0
145,Maize (corn),1982,4.1598,21842480.0,543510.0
146,Maize (corn),1983,3.5579,18731216.0,765929.0
147,Maize (corn),1984,4.0137,21164144.0,178248.0
148,Maize (corn),1985,4.1181,22018176.0,428.0
149,Maize (corn),1986,3.9604,20541230.0,421.0
150,Maize (corn),1987,4.9405,26786650.0,589.0
151,Maize (corn),1988,4.6225,24749550.0,743.0
152,Maize (corn),1989,4.865,26589870.0,362.0
153,Maize (corn),1990,3.989,21347770.0,81.0
154,Maize (corn),1991,4.4515,23624340.0,278.0
155,Maize (corn),1992,5.4628,30506127.0,848.0
156,Maize (corn),1993,5.2764,30055633.0,3275.0
157,Maize (corn),1994,5.7781,32487625.0,4642.0
158,Maize (corn),1995,6.3363,36266951.0,11046.0
159,Maize (corn),1996,5.2274,29652791.0,351116.0
160,Maize (corn),1997,5.7476,32948044.0,358204.0
161,Maize (corn),1998,5.1067,29601753.0,7171.0
162,Maize (corn),1999,5.5685,32239479.0,7517.0
163,Maize (corn),2000,5.6029,32321000.0,6699.0
164,Maize (corn),2001,7.0217,41962475.0,5628978.0
165,Maize (corn),2002,6.1114,35940832.0,2746990.0
166,Maize (corn),2003,7.9856,48327323.0,3566232.0
167,Maize (corn),2004,7.0028,41787558.0,5030999.0
168,Maize (corn),2005,5.9756,35113312.0,1070016.0
169,Maize (corn),2006,7.1445,42661677.0,3937999.0
170,Maize (corn),2007,8.5937,52112217.0,10933455.0
171,Maize (corn),2008,9.627,58933347.0,6432662.0
172,Maize (corn),2009,8.3849,50719822.0,7781900.0
173,Maize (corn),2010,8.9714,55364271.0,10815275.0
174,Maize (corn),2011,9.0578,55660235.0,9486914.0
175,Maize (corn),2012,11.3476,71072810.0,19801939.0
176,Maize (corn),2013,12.7548,80273172.0,26624890.0
177,Maize (corn),2014,12.7112,79881614.0,20654640.08
178,Maize (corn),2015,13.4835,85283074.0,28923951.45
179,Maize (corn),2016,10.4233,64188314.0,21873309.73
180,Maize (corn),2017,15.4588,97910658.0,29265911.38
181,Maize (corn),2018,13.124,82366531.0,23566197.75
182,Maize (corn),2019,15.927,101126409.0,42752101.99
183,Maize (corn),2020,16.3982,103990935.0,34431936.09
184,Maize (corn),2021,14.2033,88272116.0,20429565.51
185,Maize (corn),2022,17.4032,109420717.0,43389331.39
186,Oats,1961,0.0078,20762.0,0.0
187,Oats,1962,0.0069,19957.0,0.0
188,Oats,1963,0.007,18173.0,0.0
189,Oats,1964,0.0068,19274.0,0.0
190,Oats,1965,0.008,23033.0,0.0
191,Oats,1966,0.0082,23238.0,0.0
192,Oats,1967,0.0073,21274.0,0.0
193,Oats,1968,0.0083,25589.0,0.0
194,Oats,1969,0.0084,25824.0,0.0
195,Oats,1970,0.0087,26754.0,0.0
196,Oats,1971,0.0095,28899.0,0.0
197,Oats,1972,0.008,25077.0,0.0
198,Oats,1973,0.0114,37934.0,0.0
199,Oats,1974,0.0103,33731.0,0.0
200,Oats,1975,0.013,41593.0,0.0
201,Oats,1976,0.0114,38962.0,0.0
202,Oats,1977,0.0116,37430.0,0.0
203,Oats,1978,0.0165,53947.0,0.0
204,Oats,1979,0.0181,57564.0,0.0
205,Oats,1980,0.0229,75609.0,16.0
206,Oats,1981,0.0286,98475.0,14.0
207,Oats,1982,0.0233,61469.0,6.0
208,Oats,1983,0.0284,92824.0,1.0
209,Oats,1984,0.0344,113529.0,0.0
210,Oats,1985,0.048,166158.0,0.0
211,Oats,1986,0.0384,130382.0,0.0
212,Oats,1987,0.0453,166150.0,0.0
213,Oats,1988,0.0373,130792.0,6.0
214,Oats,1989,0.0643,228208.0,13.0
215,Oats,1990,0.056,177760.0,0.0
216,Oats,1991,0.0746,230423.0,18.0
217,Oats,1992,0.0881,297361.0,110.0
218,Oats,1993,0.0802,262816.0,300.0
219,Oats,1994,0.0819,260995.0,111.0
220,Oats,1995,0.0525,180880.0,589.0
221,Oats,1996,0.0577,217426.0,1236.0
222,Oats,1997,0.0647,228741.0,249.0
223,Oats,1998,0.0601,207251.0,1194.0
224,Oats,1999,0.0773,288058.0,903.0
225,Oats,2000,0.0602,214276.0,936.8
226,Oats,2001,0.0915,342476.0,444.0
227,Oats,2002,0.0841,298686.0,957.0
228,Oats,2003,0.112,435092.0,902.0
229,Oats,2004,0.123,459526.0,2425.0
230,Oats,2005,0.1361,522428.0,1475.0
231,Oats,2006,0.1111,405657.0,977.0
232,Oats,2007,0.0576,237801.0,1944.0
233,Oats,2008,0.0549,238516.0,5098.0
234,Oats,2009,0.0596,252503.0,9953.0
235,Oats,2010,0.0881,395056.0,4351.0
236,Oats,2011,0.0843,373009.0,9511.0
237,Oats,2012,0.0988,431024.0,2412.0
238,Oats,2013,0.1159,520397.0,6928.0
239,Oats,2014,0.1032,432136.0,6391.08
240,Oats,2015,0.1232,504957.0,9967.28
241,Oats,2016,0.187,872830.0,1487.12
242,Oats,2017,0.1532,625769.0,1896.62
243,Oats,2018,0.2065,899244.0,5248.85
244,Oats,2019,0.2132,930281.0,4921.31
245,Oats,2020,0.2118,898405.0,2597.11
246,Oats,2021,0.2466,1092473.0,1239.38
247,Oats,2022,0.2866,1296345.0,11087.79
248,Potatoes,1961,0.0992,1080310.0,0.0
249,Potatoes,1962,0.1023,1133860.0,186.0
250,Potatoes,1963,0.1044,1167774.0,9.0
251,Potatoes,1964,0.1099,1263812.0,14640.0
252,Potatoes,1965,0.1069,1245857.0,0.0
253,Potatoes,1966,0.1073,1328774.0,0.0
254,Potatoes,1967,0.1174,1466521.0,0.0
255,Potatoes,1968,0.124,1606473.0,17147.0
256,Potatoes,1969,0.1197,1506500.0,0.0
257,Potatoes,1970,0.1184,1583465.0,25.0
258,Potatoes,1971,0.1158,1580315.0,0.0
259,Potatoes,1972,0.1137,1589395.0,13573.0
260,Potatoes,1973,0.1031,1336880.0,0.0
261,Potatoes,1974,0.1112,1672498.0,0.0
262,Potatoes,1975,0.1104,1654767.0,1540.0
263,Potatoes,1976,0.1185,1897518.0,300.0
264,Potatoes,1977,0.1169,1896311.0,0.0
265,Potatoes,1978,0.1256,2013882.0,0.0
266,Potatoes,1979,0.1253,2154173.0,9155.0
267,Potatoes,1980,0.1117,1939537.0,0.0
268,Potatoes,1981,0.1071,1912169.0,0.0
269,Potatoes,1982,0.1165,2154775.0,0.0
270,Potatoes,1983,0.1046,1826579.0,0.0
271,Potatoes,1984,0.1128,2171133.0,0.0
272,Potatoes,1985,0.1013,1946659.0,2.0
273,Potatoes,1986,0.1013,1831817.0,3.0
274,Potatoes,1987,0.1179,2342018.0,1.0
275,Potatoes,1988,0.1153,2294912.0,14.0
276,Potatoes,1989,0.1055,2129334.0,44.0
277,Potatoes,1990,0.1081,2233721.0,85.0
278,Potatoes,1991,0.1101,2267035.0,80.0
279,Potatoes,1992,0.1181,2432073.0,119.0
280,Potatoes,1993,0.1123,2367571.0,406.0
281,Potatoes,1994,0.1186,2488461.0,47.0
282,Potatoes,1995,0.1246,2692234.0,54.0
283,Potatoes,1996,0.1142,2412546.0,0.0
284,Potatoes,1997,0.1234,2670493.0,72.0
285,Potatoes,1998,0.1269,2784181.0,0.0
286,Potatoes,1999,0.1286,2904950.0,2078.0
287,Potatoes,2000,0.1127,2606932.0,130.0
288,Potatoes,2001,0.1183,2848664.0,210.0
289,Potatoes,2002,0.1266,3126410.0,2161.0
290,Potatoes,2003,0.1221,3089016.0,197.0
291,Potatoes,2004,0.1175,3047083.0,26.0
292,Potatoes,2005,0.1189,3130174.0,274.0
293,Potatoes,2006,0.1188,3151721.0,23.0
294,Potatoes,2007,0.1293,3550510.0,13279.0
295,Potatoes,2008,0.1306,3676938.0,1094.0
296,Potatoes,2009,0.1236,3443712.0,4312.0
297,Potatoes,2010,0.1249,3547510.0,621.0
298,Potatoes,2011,0.1371,3917234.0,2992.0
299,Potatoes,2012,0.1281,3731798.0,262.0
300,Potatoes,2013,0.1214,3553772.0,2023.0
301,Potatoes,2014,0.1256,3689836.0,9240.72
302,Potatoes,2015,0.129,3867681.0,10724.38
303,Potatoes,2016,0.1279,3851396.0,2475.5
304,Potatoes,2017,0.1193,3655069.0,21032.17
305,Potatoes,2018,0.1213,3728953.0,12907.4
306,Potatoes,2019,0.1198,3711744.0,2484.22
307,Potatoes,2020,0.1208,3752999.0,9077.81
308,Potatoes,2021,0.1224,3853464.0,6439.39
309,Potatoes,2022,0.1237,3889797.0,4129.08
310,Rice,1961,1.971,5392477.0,13.0
311,Rice,1962,2.0601,5556834.0,10.0
312,Rice,1963,2.2242,5740065.0,0.0
313,Rice,1964,2.4838,6344931.0,0.0
314,Rice,1965,2.8283,7579649.0,352.0
315,Rice,1966,2.3375,5801814.0,0.0
316,Rice,1967,2.5904,6791990.0,0.0
317,Rice,1968,2.6313,6652388.0,0.0
318,Rice,1969,2.6523,6394285.0,0.0
319,Rice,1970,2.9568,7553083.0,239.0
320,Rice,1971,2.7346,6593179.0,0.0
321,Rice,1972,2.6746,6760641.0,0.0
322,Rice,1973,2.8305,7160127.0,93.0
323,Rice,1974,2.7236,6764038.0,528.0
324,Rice,1975,3.1112,7781538.0,0.0
325,Rice,1976,3.9021,9757079.0,0.0
326,Rice,1977,3.544,8993696.0,0.0
327,Rice,1978,3.1554,7296142.0,12810.0
328,Rice,1979,3.137,7595214.0,12.0
329,Rice,1980,3.7529,9775720.0,242.0
330,Rice,1981,3.4703,8228326.0,0.0
